성별,연령계층별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
계,계,4.4,4,3.3,3.6,3.7,3.7,3.5,3.2,3.2,3.6,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7,3.8,3.8
계,15 - 19세,14.5,14.4,12,13,14,12.3,10.5,9.3,10.2,12.3,11.9,10.8,8.9,10.3,9.3,10.6,10,8.7,9.3,8.6
계,20 - 29세,7.5,7.3,6.6,7.7,7.8,7.7,7.8,7.1,7,7.8,7.7,7.4,7.4,7.8,9,9,9.8,9.9,9.5,8.9
계,30 - 39세,3.6,3.2,2.9,3,3.1,3.3,3,3.2,3.1,3.6,3.5,3.4,3,3,3.1,3.1,3.1,3.3,3.4,3.3
계,40 - 49세,3.5,3,2,2.2,2.3,2.5,2.3,2,2.1,2.4,2.5,2.1,2,2,2.2,2.3,2.1,2.1,2.5,2.3
계,50 - 59세,3.2,2.8,1.9,2.2,2.3,2.5,2.1,2.1,2,2.5,2.5,2.1,2.1,1.9,2.2,2.4,2.3,2.2,2.5,2.5
계,60세이상,1.5,1.2,1.1,1,1.2,1.3,1.4,1.4,1.2,1.6,2.8,2.6,2.4,1.8,2.3,2.5,2.7,2.9,3.1,3.4
계,15 - 64세,4.6,4.2,3.4,3.7,3.8,3.9,3.6,3.4,3.3,3.8,3.8,3.5,3.3,3.2,3.6,3.7,3.8,3.8,3.9,3.8
계,15 - 24세,10.8,10.2,8.5,10,10.4,10.2,10,8.7,9.3,9.9,9.7,9.7,9,9.3,10,10.5,10.7,10.3,10.5,10.4
계,15 - 29세,8.1,7.9,7,8,8.2,8,7.9,7.2,7.1,8,7.9,7.6,7.5,8,9,9.1,9.8,9.8,9.5,8.9
남자,계,5,4.5,3.6,3.8,3.9,4,3.9,3.7,3.6,4.1,4,3.6,3.4,3.3,3.5,3.6,3.8,3.8,3.9,3.9
남자,15 - 19세,15.2,15.4,13.1,14.3,14.7,13,10.6,9.5,12.3,15.1,15.1,12.1,9.5,11.3,10.2,10.4,10.9,9.8,10.4,10.9
남자,20 - 29세,8.8,8.5,8,8.9,9.3,9,9.1,9,8.4,9.5,9,8.8,8.5,9,10.5,10.5,10.9,11.5,10.4,9.7
남자,30 - 39세,4,3.6,3.2,3.1,3.2,3.5,3.4,3.5,3.5,4,3.9,3.4,3.2,3.2,2.9,3.1,3.3,3.3,3.4,3.3
남자,40 - 49세,3.9,3.4,2.2,2.3,2.4,2.7,2.6,2.2,2.4,2.7,2.5,2.2,2.1,2,2.1,2,1.9,2,2.4,2.4
남자,50 - 59세,4,3.5,2.3,2.6,2.6,3,2.6,2.5,2.4,3,2.9,2.4,2.4,2.2,2.3,2.5,2.5,2.3,2.7,2.8
남자,60세이상,2.1,1.8,1.4,1.3,1.5,1.8,1.9,1.8,1.7,2,3.2,3,2.9,2.3,2.8,3.1,3.2,3.4,3.6,3.8
남자,15 - 64세,5.1,4.6,3.8,3.9,4,4.1,4,3.8,3.7,4.2,4.1,3.7,3.4,3.4,3.6,3.7,3.9,3.9,4,4
남자,15 - 24세,13.5,12.6,10.2,11.8,12,12.1,11.8,11.1,11.5,11.9,11.1,12,9.7,9.8,11.2,11.3,11,11.2,11.1,11.1
남자,15 - 29세,9.3,9,8.3,9.2,9.6,9.2,9.2,9.1,8.6,9.8,9.3,9,8.5,9.1,10.5,10.5,10.9,11.4,10.4,9.7
여자,계,3.6,3.3,2.7,3.3,3.4,3.4,3,2.7,2.6,3,3.3,3.1,3,2.8,3.5,3.5,3.6,3.5,3.7,3.6
여자,15 - 19세,13.8,13.5,11,11.9,13.4,11.7,10.5,9.2,8.6,10.3,9.6,9.8,8.4,9.5,8.4,10.7,9.2,7.7,8.4,6.6
여자,20 - 29세,6,6,5.1,6.4,6.5,6.5,6.5,5.3,5.7,6.2,6.5,6.1,6.5,6.8,7.6,7.6,8.8,8.4,8.6,8.2
여자,30 - 39세,2.9,2.5,2.4,2.8,2.8,3.1,2.3,2.6,2.4,2.9,3,3.3,2.7,2.5,3.5,3.1,3,3.3,3.3,3.3
여자,40 - 49세,2.8,2.3,1.6,2,2.2,2.3,1.8,1.7,1.8,2,2.4,2,2,2,2.4,2.7,2.4,2.3,2.5,2.2
여자,50 - 59세,2.1,1.8,1.3,1.5,1.7,1.7,1.4,1.5,1.3,1.7,1.8,1.7,1.7,1.4,2.2,2.1,2,2,2.3,2.2
여자,60세이상,0.8,0.5,0.7,0.6,0.7,0.7,0.7,0.8,0.5,1,2.3,2,1.8,1.2,1.6,1.8,1.9,2.2,2.5,2.9
여자,15 - 64세,3.8,3.5,2.9,3.5,3.5,3.6,3.1,2.8,2.8,3.2,3.4,3.2,3.1,3,3.6,3.7,3.7,3.6,3.8,3.6
여자,15 - 24세,9.1,8.7,7.4,8.9,9.4,8.9,8.9,7.2,7.9,8.5,8.9,8.1,8.5,9,9.2,10,10.5,9.7,10.2,9.9
여자,15 - 29세,6.7,6.7,5.6,6.8,6.9,6.8,6.7,5.5,5.8,6.4,6.7,6.3,6.6,7,7.7,7.8,8.8,8.3,8.6,8.1
