,대출일반,대출주택,졸업자수,사교육비,인구,자가용,직장가입자,지역가입자,사회단체참여율,수출,수입,실질국내총생산(GDP),1인당주거면적,고등교육이수율,원자료,e러닝시장규모,문화여가지출률,지니계수,다문화출생아수,전국 이혼건수 ,TV (%),라디오 (%),신문 (%),유소년부양비,노년부양비,노령화지수,사망자수,신혼부부수(합계),초혼부부 평균 출산자녀수,맞벌이 부부 수,주택소유 신혼부부 수,실업률,1인가구 비율,출생아수(명),혼인건수(건),주택매매가격동향,출산율
2000,,,,,47008111.0,,,,,172267511.0,160481015.0,,,23.9,26.8,,,,,119455.0,,,,29.4,10.1,34.3,248740.0,,,,,4.4,15.5,,,,1.48
2001,,,,,47370164.0,,,,,150439144.0,141097821.0,947394.8,,24.2,19.84,,,,,134608.0,,,,29.0,10.5,36.2,243813.0,,,,,4.0,,,,,1.3090000000000002
2002,,,,,47644736.0,,,,,162470528.0,152126153.0,1020582.4,,26.0,31.2,,,,,144910.0,,,,28.5,11.0,38.6,247524.0,,,,,3.3,,,,,1.178
2003,,,,,47892330.0,,,,44.8,193817443.0,178826657.0,1052703.1,,29.5,32.52,1077041.0,,,,166617.0,,,,27.9,11.5,41.1,246463.0,,,,,3.6,,,,,1.1909999999999998
2004,,,,,48082519.0,,,,,253844672.0,224462687.0,1107416.2,,30.5,43.45,1298484.0,,,,138932.0,,,,27.3,12.0,43.8,246220.0,,,,,3.7,,,,,1.164
2005,,,,,48184561.0,,,,,284418743.0,261238264.0,1155129.7,,31.6,61.13,1470817.0,,,,128035.0,,,,26.6,12.5,46.8,245874.0,,,,,3.7,20.0,,,,1.085
2006,,,,,48438292.0,,,,38.8,325464848.0,309382632.0,1215939.5,26.2,32.9,61.05,1617797.0,4.16,,,124524.0,,,,25.7,13.0,50.4,244162.0,,,,,3.5,,,,,1.132
2007,,,,200400.0,48683638.0,,,,,371489086.0,356845733.0,1286458.5,,34.6,96.0,1727057.0,4.13,,,124072.0,,,,24.8,13.5,54.6,246482.0,,,,,3.2,,,,,1.259
2008,,,,209095.0,49054708.0,,,,,422007328.0,435274737.0,1325219.3,27.8,36.6,44.6,1870475.0,4.0,,13443.0,116535.0,,,,23.8,14.0,58.8,246113.0,,,,,3.2,,,,,1.192
2009,,,,216259.0,49307835.0,,75391264.0,27525025.0,39.8,363533561.0,323084521.0,1335724.3,,38.7,79.36,2091033.0,4.04,,19024.0,123999.0,83.9,20.2,22.2,22.9,14.4,62.9,246942.0,,,,,3.6,,,,,1.149
2010,,,,208718.0,49554112.0,,88694835.0,30519406.0,,466383762.0,425212160.0,1426618.0,28.5,39.7,91.38,2245833.0,4.25,,20312.0,116858.0,82.6,16.2,18.5,22.0,14.8,67.2,255405.0,,,,,3.7,23.9,470171.0,326104.0,1.9,1.226
2011,8.75,13.5,558932.0,201266.0,49936638.0,,125900203.0,40538413.0,46.6,555213656.0,524413090.0,1479198.4,,40.4,98.83,2451364.0,4.13,0.418,22014.0,114284.0,81.6,14.8,16.5,21.2,15.0,71.0,257396.0,,,,,3.4,,471265.0,329087.0,6.9,1.244
2012,4.75,3.75,566324.0,190395.0,50199853.0,,160836393.0,49573644.0,,547869792.0,519584473.0,1514736.6,31.7,41.7,92.38,2747766.0,4.2,0.411,22908.0,114316.0,81.4,12.5,12.2,20.6,15.6,76.1,267221.0,,,,,3.2,,484550.0,327073.0,0.0,1.297
2013,3.0,6.5,555142.0,185960.0,50428893.0,,184333563.0,53303425.0,50.1,559632434.0,515585515.0,1562673.6,,43.1,98.55,2947083.0,4.28,0.401,21290.0,115292.0,79.4,11.8,10.0,20.0,16.3,81.5,266257.0,,,,,3.1,,436455.0,322807.0,0.3,1.187
2014,7.0,23.5,557234.0,182297.0,50746659.0,,183622983.0,51096341.0,,572664607.0,525514506.0,1612717.5,33.5,44.6,53.22,3214167.0,4.35,0.397,21174.0,115510.0,78.4,9.5,8.2,19.4,16.8,87.0,267692.0,,,,,3.5,,435435.0,305507.0,1.7,1.205
2015,6.75,30.25,576023.0,178346.0,51014947.0,19622569.0,181165551.0,48949590.0,48.9,526756503.0,436498973.0,1658020.4,,45.5,37.04,3485119.0,4.44,0.396,19729.0,109153.0,76.2,8.9,7.1,18.8,17.5,93.0,275895.0,1471647.0,0.82,595850.0,640709.0,3.6,27.4,438420.0,302828.0,3.5,1.239
2016,3.5,9.75,580695.0,180606.0,51217803.0,20345309.0,169794557.0,45567250.0,,495425940.0,406192887.0,1706880.3,33.2,46.9,43.47,3487574.0,4.53,0.402,19431.0,107328.0,75.4,10.1,6.6,18.3,18.0,98.4,280827.0,1436948.0,0.8,603281.0,633642.0,3.7,28.1,406243.0,281635.0,0.7,1.172
2017,13.5,5.25,574009.0,186703.0,51361911.0,20984258.0,,,49.7,573694421.0,478478296.0,1760811.5,31.2,47.7,50.85,3699183.0,5.27,0.406,18440.0,106032.0,77.2,10.6,5.2,17.9,18.8,105.1,285534.0,1379766.0,0.78,585957.0,616621.0,3.7,28.7,357771.0,264455.0,1.5,1.052
2018,3.5,-4.25,,194852.0,51606633.0,21539573.0,,,,604859657.0,535202428.0,1807735.9,31.7,49.0,64.9,3845009.0,5.76,0.402,18079.0,108684.0,76.6,10.1,4.2,17.5,19.6,111.9,298820.0,1322406.0,0.74,594409.0,594721.0,3.8,29.2,326822.0,257622.0,1.1,0.977
2019,7.5,-2.25,,,,21908362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
