"연번","지정번호","기관명","소재지","전화번호","의료기관종류"
"1","2010-01","한빛여성병원","경기도 안산시 단원구 고잔1동 774-1","031-410-3316","병원"
"2","2010-02","(의)정우의료재단프라우메디병원","울산광역시 남구 삼산중로 94","052-226-7211","병원"
"3","2010-03","프리모산부인과의원","충북 청주시 흥덕구 대농로 43, 327호","043-265-1177","의원"
"4","2010-04","민병열산부인과의원","충북 청주시 서원구 사직대로 101(사창동)","043-262-8540","의원"
"5","2010-06","시엘병원","광주광역시 서구 광천동 13-21","062-368-1700","병원"
"6","2010-07","세화병원","부산시 동래구 미남로132번길 28","051-505-1333","병원"
"7","2010-08","서울여성병원","대전시 서구 문정로 7(둔산동, 진영빌딩)","042-479-8116","병원"
"8","2010-09","미래여성병원","대전시 서구 대덕대로176번길 15(둔산동)","042-471-5678","병원"
"9","2010-10","진주미래여성병원","경남 진주시 강남동 146번지","055-760-8000","병원"
"10","2010-11","아이맘산부인과의원","경북 포항시 남구 상도동 662번지 연희빌딩 3층","054-277-1303","의원"
"11","2010-12","엘르메디 산부인과의원","경남 창원시 의창구 서상로 1","055-253-2111","의원"
"12","2010-15","삼성제일산부인과의원","부산광역시 해운대구 해운대로 369 해운대센텀메디컬센터5층","051-747-3999","의원"
"13","2010-16","세브란스 산부인과의원","대전시 서구 문정로 88(탄방동)","042-482-3091","의원"
"14","2010-17","로사산부인과의원","대구시 동구 화랑로 87(효목동)","053-255-2424","의원"
"15","2010-18","프레메디산부인과의원","광주광역시 서구 무진대로 950,3~4층","062-363-6608","의원"
"16","2010-19","혜성산부인과병원","충남 천안시 서북구 미라2길 18-11","041-572-4567","병원"
"17","2010-20","아름병원","부산시 동래구 온천장로 13","051-557-0114","병원"
"18","2010-22","마마파파&베이비산부인과의원","울산시 남구 삼산로 247, 마마파파&베이비 빌딩 15F,16F,17F","052-258-6006","의원"
"19","2010-23","의료법인마리아의료재단 마리아병원","서울시 동대문구 천호대로 20(신설동)","02-2250-5551","병원"
"20","2010-24","인정병원","서울시 은평구 응암로 164번지","02-309-0909","병원"
"21","2010-25","의료법인 마리아의료재단 마리아의원(부산)","부산시 연제구 연산동 701-1번지 더웰타워","051-441-6555","의원"
"22","2010-26","장스여성병원","서울시 중랑구 망우로 411","02-490-4181","병원"
"23","2010-27","다나산부인과의원","충남 아산시 온천동 300-13","041-549-8228","의원"
"24","2010-28","마리나산부인과의원","경기도 이천시 중리동 466-4번지","031-636-0552","산부인과"
"25","2010-29","여성아이병원","경북 포항시 북구 우현동 7B 5L","054-230-3027","병원"
"26","2010-30","제일산부인과의원","전북 익산시 동서로 231(남중동)","063-840-7500","의원"
"27","2010-31","의료법인 마리아의료재단 마리아의원(일산)","경기도 고양시 일산구 장항동 890-5 굿모닝 법조타운 Ⅰ 1001호","031-924-6555","의원"
"28","2010-32","성모여성병원","대구시 달서구 월배로 204(상인동)","053-640-1000","병원"
"29","2010-33","삼성미즈산부인과의원","인천시 부평구 부평대로 93, 2층(부평동)","032-516-3838","의원"
"30","2010-34","엘르산부인과의원","대구시 달서구 계대동문로 124, 5층","053-593-9000","의원"
"31","2010-35","의료법인 마리아의료재단 마리아의원(대전)","대전시 서구 청사로 148, 매그놀리아 2층(둔산동)","042-484-6554","의원"
"32","2010-36","이도근 산부인과의원","경남 진주시 진양호로 497 2층","055-745-7888","의원"
"33","2010-37","차산부인과의원","제주특별자치도 제주시 노형8길 2, 2층(노형동, 온유빌딩)","064-742-9661","의원"
"34","2010-38","의료법인 마리아의료재단 마리아의원(대구)","대구시 동구 동부로22길 2, 702호, 801호(신천동, 서한코보스타운티)","053-943-6555","의원"
"35","2010-39","광주미래와희망산부인과의원","광주광역시 서구 농성동 460-33","062-361-3344","의원"
"36","2010-40","대구조이맘산부인과의원","대구시 중구 남산2동 925-2번지 반월 메디컬타워 8층","053-254-5252","의원"
"37","2010-41","신세계여성병원","부산시 사하구 다대로 251(장림동)","051-260-9000","병원"
"38","2010-42-1","신여성병원","경기도 의정부시 의정부2동 492-3","031-844-3800","병원"
"39","2010-43-1","미즈나래여성병원","충남 천안시 서북구 충무로 158-13","041-577-8888","병원"
"40","2010-44","미래와희망산부인과의원","서울시 강남구 언주로  707","02-3446-0011","의원"
"41","2010-45","동아대학교의료원","부산시 서구 동대신동 3가 1","051-240-5095","종합병원"
"42","2010-46","미래와여성 산부인과의원","전북 군산시 문화로 164(수송동)","063-441-1113","의원"
"43","2010-48","차의과학대학교 부속 구미차병원","경북 구미시 신시로 10길 12(형곡동)","054-450-9920","종합병원"
"44","2010-49","함춘여성의원","서울시 서초구 서초1동 1621-7,8","02-522-0123","의원"
"45","2010-50","차병원","서울시 강남구 역삼1동 650-9","02-3468-3000","병원"
"46","2010-51","아주대학교병원","경기도 수원시 영통구 월드컵로 164","031-219-6659","병원"
"47","2010-52","좋은문화병원","부산시 동구 범일2동 899-8","051-630-0748","종합병원"
"48","2010-53","미래여성병원","대구시 달서구 와룡로 207","053-608-7071","병원"
"49","2010-54","서울여성병원","인천 남구 경원대로 771","032-230-3883","병원"
"50","2010-55","에이치큐브병원","서울시 도봉구 창동 731-1번지","02-6911-7227","병원"
"51","2010-56","동탄제일산부인과","경기도 화성시 반송동 88-13 아이프라자 6층","031-8003-3388","의원"
"52","2010-57","서울여성병원","경기도 부천시 원미구 상동 544-2","032-230-3000","병원"
"53","2010-58","에덴메디여성병원","경기도 수원시 권선구 권선2동 1311-1","031-236-4321","병원"
"54","2010-59","삼성미래산부인과의원","경기도 부천시 원미구 중2동 1208-8","032-662-6100","의원"
