"구분별(1)",구분별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"구분별(1)",구분별(2),학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,학교수 (개),졸업자 (명),졸업자 (명),졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황,졸업상황
"구분별(1)",구분별(2),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명),소계,소계,여자,취업률 (%),취업률 (%),취업자 (명),취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교외취업자 (명),건강보험직장가입자 교내취업자 (명),건강보험직장가입자 교내취업자 (명),해외취업자 (명),해외취업자 (명),농림어업종사자 (명),농림어업종사자 (명),개인창작활동종사자 (명),개인창작활동종사자 (명),1인창(사)업자 (명),1인창(사)업자 (명),프리랜서 (명),프리랜서 (명),진학률 (%),진학자 (명),진학자 (명),입대자 (명),취업불가능자 (명),취업불가능자 (명),제외인정자 (명),제외인정자 (명),외국인유학생 (명),외국인유학생 (명),기타 (명),기타 (명),미상 (명),미상 (명)
"구분별(1)",구분별(2),소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자
"계",소계,557,558932,277877,67.6,64.5,336156,161538,307627,144606,6321,4059,693,358,235,27,89,48,5707,2553,15484,9887,6.4,35708,16343,5474,319,123,7460,4252,12793,6870,155087,85524,5935,3227,558,566324,285055,68.1,65.7,340648,167509,306942,146640,8591,5734,1081,627,464,100,2077,1684,4180,1769,17313,10955,6.4,36190,16708,5844,304,115,7070,4242,16441,8919,153827,84293,6000,3269,552,555142,282197,67.4,65.1,328506,163885,294568,142702,9485,6391,1048,624,615,178,2214,1857,4870,2230,15706,9903,6.6,36392,16792,6808,288,123,6995,4137,17415,9438,153723,85006,5015,2816,567,557234,284719,67.0,65.2,327186,165706,292706,144232,9574,6413,1051,549,663,226,2408,1922,3739,1687,17045,10677,6.7,37532,17569,7985,234,74,6398,3677,16886,9101,155950,85785,5063,2807,566,576023,292525,67.5,66.1,343069,173581,305667,150743,9745,6485,1455,828,679,238,2773,2069,4626,2137,18124,11081,6.7,38545,18100,8026,252,102,14472,7870,6584,3794,158947,85638,6128,3440,566,580695,295252,67.7,66.4,349584,177270,309672,153312,8766,5719,2333,1311,617,202,3125,2337,4791,2164,20280,12225,6.3,36838,17423,7607,265,100,12983,6991,6382,3678,160758,86386,6278,3404,561,574009,292664,66.2,64.8,337904,171053,296642,146670,8621,5569,2532,1307,530,190,3311,2449,4740,2197,21528,12671,6.2,35355,16911,7702,256,86,13842,7806,6799,3878,163748,88238,8403,4692
"계",국립,73,93039,38716,67.3,60.1,54240,20364,50656,18457,799,429,67,24,128,13,14,12,633,220,1943,1209,9.4,8732,3329,779,47,19,524,324,2335,1158,25883,13276,499,246,75,92840,38558,66.8,60.4,53233,20222,49391,18203,919,502,116,51,162,18,37,28,448,142,2160,1278,9.3,8662,3262,913,33,12,373,242,3141,1587,25685,12863,800,370,77,93255,39153,66.6,60.9,52754,20540,48776,18366,961,547,94,28,192,28,138,120,616,213,1977,1238,9.6,8931,3272,930,31,13,419,255,3734,1862,26019,12958,437,253,85,93111,39877,66.0,61.1,51941,20967,47825,18672,978,576,80,22,145,28,84,57,493,186,2336,1426,9.8,9081,3400,1067,30,7,414,257,3846,1891,26196,13054,536,301,86,95091,40543,65.3,60.8,52949,21462,48475,19069,1119,637,96,32,150,15,105,78,588,233,2416,1398,9.5,9062,3272,905,28,7,3535,1706,428,257,27438,13415,746,424,87,96769,41214,64.3,60.0,53684,21752,48827,19241,1133,585,149,66,164,26,111,81,594,235,2706,1518,9.0,8734,3104,870,34,11,3209,1545,488,291,28958,14091,792,420,85,97789,41920,62.2,57.1,52607,21040,47484,18337,1173,673,200,69,83,12,107,83,672,279,2888,1587,8.7,8463,3082,928,36,14,3292,1692,545,286,29520,14568,2398,1238
"계",공립,12,8090,3184,68.8,64.6,5035,1870,4706,1714,25,11,10,6,7,-,-,-,96,34,191,105,5.4,439,156,134,11,5,92,59,95,68,2116,970,168,56,12,7123,2819,69.6,64.1,4416,1640,4083,1456,16,9,9,3,27,13,34,29,47,12,200,118,6.3,450,143,115,4,-,64,42,145,77,1882,894,47,23,9,4991,2024,67.8,64.1,3025,1183,2811,1084,17,6,11,4,42,15,-,-,47,26,97,48,6.5,323,128,117,2,1,29,19,59,30,1430,661,6,2,9,5037,2083,66.4,62.3,2968,1178,2765,1061,12,8,8,4,35,13,5,4,40,18,103,70,7.0,354,129,120,1,1,45,28,50,34,1496,712,3,1,9,5490,2108,67.9,64.2,3265,1224,2991,1096,25,15,9,5,57,22,26,14,48,24,109,48,7.0,387,129,172,2,1,74,47,46,25,1531,677,13,5,9,5432,2022,68.0,66.0,3273,1211,2997,1071,28,21,11,5,31,16,20,16,44,16,142,66,6.0,328,117,177,2,1,64,50,47,20,1536,620,5,3,9,5212,1945,66.4,63.5,3018,1114,2722,978,30,14,17,11,31,6,27,24,45,22,146,59,6.4,331,114,205,1,1,67,51,62,25,1518,637,10,3
"계",사립,472,457803,235977,67.7,65.2,276881,139304,252265,124435,5497,3619,616,328,100,14,75,36,4978,2299,13350,8573,5.8,26537,12858,4561,261,99,6844,3869,10363,5644,127088,71278,5268,2925,471,466361,243678,68.3,66.5,282999,145647,253468,126981,7656,5223,956,573,275,69,2006,1627,3685,1615,14953,9559,5.8,27078,13303,4816,267,103,6633,3958,13155,7255,126260,70536,5153,2876,466,456896,241020,67.6,65.8,272727,142162,242981,123252,8507,5838,943,592,381,135,2076,1737,4207,1991,13632,8617,5.9,27138,13392,5761,255,109,6547,3863,13622,7546,126274,71387,4572,2561,473,459086,242759,67.2,65.8,272277,143561,242116,124499,8584,5829,963,523,483,185,2319,1861,3206,1483,14606,9181,6.1,28097,14040,6798,203,66,5939,3392,12990,7176,128258,72019,4524,2505,471,475442,249874,67.9,66.9,286855,150895,254201,130578,8601,5833,1350,791,472,201,2642,1977,3990,1880,15599,9635,6.1,29096,14699,6949,222,94,10863,6117,6110,3512,129978,71546,5369,3011,470,478494,252016,68.3,67.4,292627,154307,257848,133000,7605,5113,2173,1240,422,160,2994,2240,4153,1913,17432,10641,5.8,27776,14202,6560,229,88,9710,5396,5847,3367,130264,71675,5481,2981,467,471008,248799,67.1,66.1,282279,148899,246436,127355,7418,4882,2315,1227,416,172,3177,2342,4023,1896,18494,11025,5.6,26561,13715,6569,219,71,10483,6063,6192,3567,132710,73033,5995,3451
"전문대학",소계,151,188203,106494,67.8,67.3,117345,67091,108778,62035,1173,773,198,114,173,23,14,5,2604,1314,4405,2827,3.7,7012,3919,3295,146,42,2839,2066,1712,833,53933,31450,1921,1093,150,189700,108681,68.1,67.8,119167,69068,109075,62821,1541,1111,348,227,352,89,610,492,1988,963,5253,3365,3.7,7053,4082,3499,116,34,2754,2077,1282,681,54171,31725,1658,1014,147,184817,107024,67.9,67.8,114671,67557,104728,61332,1760,1247,383,264,458,148,723,548,2028,1083,4591,2935,4.3,7864,4890,4371,104,36,2591,1885,1108,552,52539,31195,1569,909,147,183388,105360,67.8,68.0,112765,66631,102700,60294,1930,1340,357,215,485,174,1185,940,1352,690,4756,2978,4.5,8327,5156,5261,91,24,2253,1637,1111,572,52044,30393,1536,947,147,182424,102760,69.5,70.0,114330,66595,103218,59753,2132,1507,682,423,547,214,1317,920,1583,846,4851,2932,5.1,9344,5569,5336,104,41,875,467,2249,1582,48489,27447,1697,1059,145,178486,100049,70.6,71.4,114001,66267,101823,58911,1928,1363,1038,592,504,184,1622,1183,1653,793,5433,3241,5.0,8967,5447,5182,81,30,712,360,2023,1391,46183,25802,1337,752,143,171210,96825,69.8,70.8,107543,63355,94928,55769,1854,1310,947,537,411,167,1798,1321,1571,800,6034,3451,5.3,9078,5518,5156,107,31,716,358,2122,1419,45089,25264,1399,880
"전문대학",국립,3,698,173,65.5,58.4,338,90,242,73,3,2,-,-,78,9,-,-,4,1,11,5,4.3,30,11,138,1,-,13,8,-,-,175,64,3,-,3,603,162,67.6,60.1,325,89,214,70,-,-,-,-,101,15,-,-,2,-,8,4,4.3,26,12,92,-,-,4,2,-,-,141,53,15,6,3,696,172,69.0,59.7,390,95,261,71,2,1,-,-,116,18,-,-,3,1,8,4,3.4,24,9,103,-,-,4,4,-,-,175,64,-,-,3,728,133,56.4,48.8,301,62,211,47,2,2,-,-,72,8,-,-,4,-,12,5,1.8,13,4,174,-,-,7,2,-,-,228,63,5,2,3,722,147,59.3,61.5,305,80,211,68,2,2,-,-,86,8,-,-,1,1,5,1,3.7,27,15,173,-,-,-,-,8,2,209,50,-,-,3,713,157,72.1,59.6,380,87,256,63,5,1,1,-,108,20,2,1,2,-,6,2,3.2,23,11,159,1,-,-,-,3,-,147,59,-,-,2,561,167,43.7,52.0,170,79,144,72,5,3,-,-,-,-,-,-,8,-,13,4,4.5,25,14,144,-,-,-,-,3,1,219,73,-,-
