"가정별","인구구조,부양비별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","총인구(명)",47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51606633,51709098,51780579,51821669,51846339,51868100,51887623,51905126,51920462,51933215,51941946,51940598,51926953,51899896,51858138,51800130,51724407,51629895,51515697,51381324,51226482,51051053,50855376,50639882,50404693,50149334,49872642,49574038,49253490,48910639,48544753,48155863,47744500,47311892,46859170,46388584,45903100,45405902,44899931,44387327,43871155,43354083,42837900,42323694,41811745,41302713,40796680,40293293,39792385,39293827
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자(명)",23666769,23854971,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25863502,25913295,25945737,25961532,25967841,25971608,25973590,25974283,25973804,25971995,25968119,25959144,25943315,25920527,25890045,25851143,25802826,25744375,25675542,25596145,25505832,25404582,25293158,25172187,25041551,24901301,24751210,24591253,24421458,24241349,24050755,23850077,23639485,23419525,23190970,22954416,22711226,22463285,22211938,21957985,21702930,21448090,21194288,20941787,20690488,20440769,20192590,19945529,19699346,19453869
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자(명)",23341342,23515193,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25743131,25795803,25834842,25860137,25878498,25896492,25914033,25930843,25946658,25961220,25973827,25981454,25983638,25979369,25968093,25948987,25921581,25885520,25840155,25785179,25720650,25646471,25562218,25467695,25363142,25248033,25121432,24982785,24832032,24669290,24493998,24305786,24105015,23892367,23668200,23434168,23191874,22942617,22687993,22429342,22168225,21905993,21643612,21381907,21121257,20861944,20604090,20347764,20093039,19839958
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","성비(여자1백명당)",101.4,101.4,101.4,101.5,101.4,101.3,101.2,101.2,101.2,101.0,100.8,100.8,100.7,100.6,100.6,100.6,100.5,100.4,100.5,100.5,100.4,100.4,100.3,100.3,100.2,100.2,100.1,100.0,100.0,99.9,99.8,99.8,99.7,99.6,99.5,99.5,99.4,99.3,99.2,99.1,98.9,98.8,98.7,98.6,98.5,98.4,98.3,98.3,98.2,98.1,98.1,98.0,98.0,98.0,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.0,98.0,98.0,98.0,98.0,98.1
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구성장률",0.84,0.77,0.58,0.52,0.40,0.21,0.53,0.51,0.76,0.51,0.50,0.77,0.53,0.46,0.63,0.53,0.40,0.28,0.48,0.20,0.14,0.08,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.00,-0.03,-0.05,-0.08,-0.11,-0.15,-0.18,-0.22,-0.26,-0.30,-0.34,-0.38,-0.42,-0.47,-0.51,-0.55,-0.60,-0.65,-0.70,-0.75,-0.80,-0.86,-0.91,-0.96,-1.01,-1.05,-1.09,-1.12,-1.15,-1.17,-1.19,-1.20,-1.21,-1.22,-1.22,-1.23,-1.24,-1.25,-1.26
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 0-14세",9911229,9852452,9732348,9584906,9430513,9223260,8979585,8714382,8478823,8229264,7979439,7771460,7577231,7392237,7213693,7029883,6864563,6724283,6589388,6434627,6296838,6151690,5984826,5800820,5661411,5540591,5395288,5268941,5160717,5084469,5000090,4927221,4895532,4897118,4913787,4939542,4973478,5002211,5013199,5006498,4982614,4942624,4888048,4820551,4745085,4666381,4585461,4503054,4419578,4335227,4250098,4164315,4078132,3991922,3906188,3821589,3738913,3659021,3582849,3511325,3445356,3385757,3333193,3288092,3250634,3220645,3197592,3180564
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 15-64세",33701986,33946787,34155443,34367560,34521703,34640514,34932893,35208580,35587293,35901685,36208564,36649999,36855893,37013997,37255840,37443896,37596157,37571568,37645085,37589552,37358309,37132956,36886870,36620006,36281510,35853375,35410811,35075159,34663702,34338789,33947290,33551657,33121359,32628664,32026520,31453078,30830602,30240399,29664408,29118019,28649225,28228548,27836699,27444998,27046993,26578305,26101502,25620373,25187611,24814391,24487273,24148798,23819218,23491545,23142183,22769510,22383533,21935852,21476089,21024533,20577989,20127438,19696416,19278637,18894036,18503017,18134065,17841771
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 65세 이상",3394896,3570925,3756945,3939864,4130303,4320787,4525814,4760676,4988592,5176886,5366109,5515179,5766729,6022659,6277126,6541168,6757083,7066060,7372160,7684919,8125432,8537023,8974643,9447274,9944702,10511160,11114363,11589115,12117527,12517340,12979573,13421018,13841247,14274348,14784100,15237275,15711617,16138714,16548875,16926536,17223537,17468710,17679946,17883785,18080564,18329352,18566527,18787212,18937564,19006245,19007129,18998779,18961820,18905117,18854729,18814803,18777485,18792454,18812217,18818225,18814555,18810499,18782136,18735984,18652010,18569631,18460728,18271492
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 0-14세",21.1,20.8,20.4,20.0,19.6,19.1,18.5,17.9,17.3,16.7,16.1,15.6,15.1,14.7,14.2,13.8,13.4,13.1,12.8,12.4,12.2,11.9,11.5,11.2,10.9,10.7,10.4,10.1,9.9,9.8,9.6,9.5,9.4,9.5,9.5,9.6,9.7,9.7,9.8,9.8,9.8,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.6,8.5,8.4,8.3,8.2,8.2,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.1
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 15-64세",71.7,71.7,71.7,71.8,71.8,71.9,72.1,72.3,72.5,72.8,73.1,73.4,73.4,73.4,73.4,73.4,73.4,73.2,72.9,72.7,72.1,71.7,71.1,70.6,69.9,69.1,68.2,67.5,66.7,66.1,65.4,64.6,63.9,63.0,61.9,60.9,59.8,58.9,57.9,57.0,56.3,55.7,55.2,54.7,54.2,53.6,53.0,52.4,51.9,51.5,51.3,51.0,50.8,50.6,50.4,50.1,49.9,49.4,49.0,48.5,48.0,47.6,47.1,46.7,46.3,45.9,45.6,45.4
