,?ÄÏ∂úÏùºÎ∞??ÄÏ∂úÏ£º??Ï°∏ÏóÖ?êÏàò,?¨Íµê?°ÎπÑ,?∏Íµ¨,?êÍ???ÏßÅÏû•Í∞Ä?ÖÏûê,ÏßÄ????ÖÏûê,?¨Ìöå?®Ï≤¥Ï∞∏Ïó¨???òÏ∂ú,?òÏûÖ,?§ÏßàÍµ?Ç¥Ï¥ùÏÉù??GDP),1?∏ÎãπÏ£ºÍ±∞Î©¥Ï†Å,Í≥†Îì±ÍµêÏú°?¥Ïàò???êÏûêÎ£?e?¨Îãù?úÏû•Í∑úÎ™®,Î¨∏Ìôî?¨Í?ÏßÄÏ∂úÎ•†,ÏßÄ?àÍ≥Ñ???§Î¨∏?îÏ∂ú?ùÏïÑ???ÑÍµ≠ ?¥ÌòºÍ±¥Ïàò ,TV (%),?ºÎîî??(%),?†Î¨∏ (%),?∏ÌÑ∞??(%),?§Îßà?∏Ìè∞ (%),?†ÏÜå?ÑÎ??ëÎπÑ,?∏ÎÖÑÎ∂Ä?ëÎπÑ,?∏Î†π?îÏ????¨Îßù?êÏàò,?†ÌòºÎ∂ÄÎ∂Ä???©Í≥Ñ),Ï¥àÌòºÎ∂ÄÎ∂Ä ?âÍ∑† Ï∂úÏÇ∞?êÎ???ÎßûÎ≤å??Î∂ÄÎ∂Ä ??Ï£ºÌÉù?åÏú† ?†ÌòºÎ∂ÄÎ∂Ä ???§ÏóÖÎ•?1?∏Í?Íµ?ÎπÑÏú®,Ï∂úÏÉù?ÑÏàò(Î™?,?ºÏù∏Í±¥Ïàò(Í±?,Ï£ºÌÉùÎß§Îß§Í∞ÄÍ≤©Îèô??Ï∂úÏÇ∞??,,,,,,,,,,,,,,
2000,,,,,47008111,,,,,172267511,160481015,,,23.9,26.8,,,,,119455,,,,,,29.4,10.1,34.3,248740,,,,,4.4,15.5,,,,1.48
2001,,,,,47370164,,,,,150439144,141097821,947394.8,,24.2,19.84,,,,,134608,,,,,,29,10.5,36.2,243813,,,,,4,,,,,1.309
2002,,,,,47644736,,,,,162470528,152126153,1020582.4,,26,31.2,,,,,144910,,,,,,28.5,11,38.6,247524,,,,,3.3,,,,,1.178
2003,,,,,47892330,,,,44.8,193817443,178826657,1052703.1,,29.5,32.52,1077041,,,,166617,,,,,,27.9,11.5,41.1,246463,,,,,3.6,,,,,1.191
2004,,,,,48082519,,,,,253844672,224462687,1107416.2,,30.5,43.45,1298484,,,,138932,,,,,,27.3,12,43.8,246220,,,,,3.7,,,,,1.164
2005,,,,,48184561,,,,,284418743,261238264,1155129.7,,31.6,61.13,1470817,,,,128035,,,,,,26.6,12.5,46.8,245874,,,,,3.7,20,,,,1.085
2006,,,,,48438292,,,,38.8,325464848,309382632,1215939.5,26.2,32.9,61.05,1617797,4.16,,,124524,,,,,,25.7,13,50.4,244162,,,,,3.5,,,,,1.132
2007,,,,200400,48683638,,,,,371489086,356845733,1286458.5,,34.6,96,1727057,4.13,,,124072,,,,,,24.8,13.5,54.6,246482,,,,,3.2,,,,,1.259
2008,,,,209095,49054708,,,,,422007328,435274737,1325219.3,27.8,36.6,44.6,1870475,4,,13443,116535,,,,,,23.8,14,58.8,246113,,,,,3.2,,,,,1.192
2009,,,,216259,49307835,,75391264,27525025,39.8,363533561,323084521,1335724.3,,38.7,79.36,2091033,4.04,,19024,123999,83.9,20.2,22.2,46.2,-,22.9,14.4,62.9,246942,,,,,3.6,,,,,1.149
