id,document,label
265,가고싶었던 흠뻐쇼,2
392,가두려고 하지는 않았나,4
122,가라앉아서,3
166,갈등,3
664,갈등,4
669,갈등에 울다,3
419,갈아타려고,0
382,감기 증상,3
180,감동,2
173,감사,2
182,감사,2
501,감사한,2
366,감수성이 넘치는,2
456,감정 공유,2
55,갑갑하고 억장만 와르르,0
584,강요하는,4
585,거부감,4
41,거지,0
220,걱정,3
543,걱정거리,4
549,걱정스러운 마음과 두려운 생각,4
516,건강,2
229,겁,4
471,격리,0
542,겪어보지 않은 일,4
612,결빙,4
317,결핍,3
178,결혼,2
530,계획 무산,0
678,고뇌와 괴로움,4
597,고립 격리,4
92,고마워,2
197,고마워,2
93,고마웠어요,2
401,고민많은,3
646,고비,4
50,고생하는 학대받는,0
613,고속도로 통제 정체,0
381,고열을 앓고,3
257,고장,0
154,고통,3
683,고통과 공포,4
261,골치아프다,0
29,공격성 폭력성,0
617,공포 조장,4
620,공포나 불안이 부풀려지면서 위축,4
60,공포에 휩싸였어,4
120,공황장애,3
264,괘씸,0
243,괴로운,3
570,괴로운,4
571,괴롭히고 괴롭게 만드는,4
344,괴물과 대결,4
446,교통사고,4
102,구조,3
335,구조대,4
144,구질구질 매달리던,3
472,군기잡고,0
561,궁금함,4
368,귀엽고 예쁘장한,2
53,귀찮은 불편,0
104,그리움 사무치는,3
15,그만둬 닥쳐,0
411,그만해달라고,0
539,극강의 맛,2
452,금품 갈취,0
338,급성 심정지,4
276,긍정,2
377,기괴하거나,4
174,기념,2
414,기다리고 있을거같아,3
196,기대,2
80,기분짱 최고,2
203,기쁜,2
111,기운빠지고 의욕없다,3
531,기운없는,3
511,기침이 심해서,3
326,꺼익꺼익,3
640,꾸미고,2
475,꾹꾹 삼켰다,4
81,꿀 빤,2
350,꿈을 지닌,2
476,끊어냈다,4
63,끔찍한 형벌,4
358,끔찍해질거야,4
66,끝,4
423,끝이 났고,3
353,나눔,2
644,나쁜,0
318,낙심,3
169,낙이없는,3
222,난처,3
175,남편,2
677,노여움,0
295,논다,2
171,놀라서,4
684,놀라움과 열의 그리고 기쁨,2
482,놀랍지도않다,0
375,놀랐었던 기억이,4
385,눈 밟으면서,2
128,눈물 보고싶다,3
105,눈물나서 죽겠다,3
593,늙었구나,3
652,늦어서 미안해,3
57,다친 실종,4
215,달달,2
267,달달구리한 음료,2
214,달콤,2
391,답답하고 속앓이 했을까,0
112,답답하다,3
657,답답하다,0
51,답답해서,0
514,답답해서,4
190,당당,2
421,당부하려고 쓴거다,0
237,당황,4
533,대성통곡,3
425,더러워지니까,0
487,더럽더라,0
303,덕후,2
294,데이트,2
249,도둑,0
588,도움 받지 못했고,4
558,도전,4
532,독감,4
17,돼먹지않은,0
586,두렵고 싫었다,4
117,두통 근육통,3
373,두통에 지끈지끈 아픈,3
605,뒤엉켜있었고 불에 탄 채,4
438,든든한,2
187,들뜬,2
635,등을 돌린,3
304,디저트,2
526,떡볶이 푸짐하게,2
395,떨어져있는,4
626,뛰어넘는 작품,2
547,마음대로 되지 않는,4
575,마음의 동요,4
246,막막,4
566,막막하고 아찔,4
484,막말 폭언한거,0
23,막힌 것만,0
207,만족,2
283,만족,2
300,만족,2
638,말끔하게,2
98,말랑말랑 설레기 시작,2
402,맘에 안드는,3
374,맛이 없어지긴,3
282,맛있게,2
269,맛있는 케이크,2
281,맛있다고,2
499,맛집 탐방,2
524,망설였는데,4
416,망치는 일이 되버리고 ,4
521,맵다,0
330,먹먹,3
270,멋있는,2
486,멍청했지,0
141,메르스,3
325,메마른,3
170,멘붕 충격,4
546,모르는 것도 많고,4
165,모진 상처,3
512,목감기,3
18,몰카의심받아 기분나빠,0
364,몸이 피곤해서,3
59,못구해냈지만,4
389,무계획적,0
223,무기력,3
399,무너져버려서,4
67,무너진다,4
527,무뚝뚝,4
397,무사히 돌아오길,4
62,무서운 형벌,4
65,무서운건 사라진다는,4
74,무서워해요,4
69,무섭다,4
658,무섭다,4
504,문제,0
42,물러날줄도,0
162,미련,3
422,미련한거지,3
323,미안,3
321,미운,3
254,미쳐버리다,0
581,민망하고,0
649,바닥을 치고 있는,4
426,바람펴서 헤어진,0
193,반갑다,2
